dataset,track_id,file_or_stem,audio_path,ref_beats_path,has_ref_beats,num_ref_beats,num_est_beats,beat_fmeasure,status,note
gtzan_genre,disco.00092,disco.00092,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00092.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00092.beats,true,58,24,0.195122,ok,
gtzan_genre,country.00031,country.00031,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00031.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00031.beats,true,55,31,0.674419,ok,
gtzan_genre,rock.00031,rock.00031,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00031.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00031.beats,true,60,27,0.229885,ok,
gtzan_genre,disco.00054,disco.00054,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00054.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00054.beats,true,57,26,0.289157,ok,
gtzan_genre,reggae.00035,reggae.00035,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00035.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00035.beats,true,82,29,0.522523,ok,
gtzan_genre,rock.00081,rock.00081,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00081.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00081.beats,true,60,27,0.229885,ok,
gtzan_genre,pop.00018,pop.00018,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00018.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00018.beats,true,61,27,0.318182,ok,
gtzan_genre,disco.00002,disco.00002,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00002.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00002.beats,true,113,26,0.230216,ok,
gtzan_genre,classical.00009,classical.00009,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00009.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00009.beats,true,30,25,0.109091,ok,
gtzan_genre,jazz.00008,jazz.00008,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00008.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00008.beats,true,55,28,0.385542,ok,
gtzan_genre,pop.00053,pop.00053,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00053.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00053.beats,true,33,26,0.135593,ok,
gtzan_genre,jazz.00076,jazz.00076,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00076.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00076.beats,true,31,29,0.2,ok,
gtzan_genre,blues.00006,blues.00006,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00006.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00006.beats,true,37,29,0.151515,ok,
gtzan_genre,reggae.00046,reggae.00046,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00046.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00046.beats,true,85,30,0.365217,ok,
gtzan_genre,country.00043,country.00043,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00043.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00043.beats,true,69,27,0.25,ok,
gtzan_genre,disco.00059,disco.00059,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00059.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00059.beats,true,63,27,0.244444,ok,
gtzan_genre,pop.00009,pop.00009,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00009.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00009.beats,true,51,27,0.333333,ok,
gtzan_genre,blues.00034,blues.00034,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00034.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00034.beats,true,47,27,0.243243,ok,
gtzan_genre,blues.00054,blues.00054,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00054.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00054.beats,true,91,27,0.20339,ok,
gtzan_genre,disco.00099,disco.00099,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00099.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00099.beats,true,61,30,0.32967,ok,
gtzan_genre,jazz.00059,jazz.00059,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00059.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00059.beats,true,54,27,0.222222,ok,
gtzan_genre,jazz.00021,jazz.00021,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00021.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00021.beats,true,61,29,0.177778,ok,
gtzan_genre,reggae.00073,reggae.00073,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00073.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00073.beats,true,42,26,0.264706,ok,
gtzan_genre,reggae.00074,reggae.00074,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00074.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00074.beats,true,42,25,0.208955,ok,
gtzan_genre,jazz.00091,jazz.00091,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00091.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00091.beats,true,29,27,0.392857,ok,
gtzan_genre,classical.00037,classical.00037,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00037.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00037.beats,true,65,29,0.148936,ok,
gtzan_genre,pop.00092,pop.00092,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00092.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00092.beats,true,55,35,0.711111,ok,
gtzan_genre,disco.00049,disco.00049,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00049.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00049.beats,true,60,27,0.252874,ok,
gtzan_genre,pop.00056,pop.00056,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00056.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00056.beats,true,45,26,0.253521,ok,
gtzan_genre,rock.00051,rock.00051,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00051.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00051.beats,true,44,28,0.305556,ok,
gtzan_genre,rock.00092,rock.00092,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00092.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00092.beats,true,66,27,0.258065,ok,
gtzan_genre,classical.00028,classical.00028,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00028.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00028.beats,true,41,28,0.289855,ok,
gtzan_genre,country.00030,country.00030,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00030.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00030.beats,true,40,25,0.184615,ok,
gtzan_genre,metal.00098,metal.00098,dataset\mirdata_gtzan_genre\gtzan_genre\genres\metal\metal.00098.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_metal_00098.beats,true,39,25,0.21875,ok,
gtzan_genre,reggae.00078,reggae.00078,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00078.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00078.beats,true,80,25,0.247619,ok,
gtzan_genre,metal.00005,metal.00005,dataset\mirdata_gtzan_genre\gtzan_genre\genres\metal\metal.00005.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_metal_00005.beats,true,77,25,0.215686,ok,
gtzan_genre,rock.00010,rock.00010,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00010.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00010.beats,true,42,30,0.361111,ok,
gtzan_genre,jazz.00088,jazz.00088,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00088.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00088.beats,true,64,30,0.297872,ok,
gtzan_genre,rock.00008,rock.00008,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00008.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00008.beats,true,45,25,0.2,ok,
gtzan_genre,rock.00079,rock.00079,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00079.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00079.beats,true,63,26,0.224719,ok,
gtzan_genre,metal.00019,metal.00019,dataset\mirdata_gtzan_genre\gtzan_genre\genres\metal\metal.00019.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_metal_00019.beats,true,109,27,0.235294,ok,
gtzan_genre,country.00069,country.00069,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00069.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00069.beats,true,57,28,0.305882,ok,
gtzan_genre,hiphop.00099,hiphop.00099,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00099.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00099.beats,true,54,25,0.506329,ok,
gtzan_genre,jazz.00043,jazz.00043,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00043.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00043.beats,true,76,29,0.266667,ok,
gtzan_genre,jazz.00017,jazz.00017,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00017.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00017.beats,true,106,31,0.291971,ok,
gtzan_genre,disco.00070,disco.00070,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00070.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00070.beats,true,55,28,0.674699,ok,
gtzan_genre,blues.00061,blues.00061,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00061.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00061.beats,true,66,28,0.255319,ok,
gtzan_genre,classical.00052,classical.00052,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00052.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00052.beats,true,78,26,0.230769,ok,
gtzan_genre,rock.00080,rock.00080,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00080.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00080.beats,true,59,25,0.238095,ok,
gtzan_genre,pop.00083,pop.00083,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00083.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00083.beats,true,62,26,0.181818,ok,
gtzan_genre,jazz.00084,jazz.00084,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00084.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00084.beats,true,62,27,0.224719,ok,
gtzan_genre,hiphop.00065,hiphop.00065,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00065.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00065.beats,true,49,26,0.24,ok,
gtzan_genre,hiphop.00034,hiphop.00034,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00034.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00034.beats,true,50,25,0.186667,ok,
gtzan_genre,classical.00047,classical.00047,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00047.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00047.beats,true,24,23,0.12766,ok,
gtzan_genre,country.00019,country.00019,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00019.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00019.beats,true,43,29,0.25,ok,
gtzan_genre,jazz.00052,jazz.00052,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00052.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00052.beats,true,53,26,0.455696,ok,
gtzan_genre,pop.00099,pop.00099,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00099.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00099.beats,true,39,24,0.222222,ok,
gtzan_genre,country.00061,country.00061,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00061.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00061.beats,true,31,27,0.172414,ok,
gtzan_genre,metal.00034,metal.00034,dataset\mirdata_gtzan_genre\gtzan_genre\genres\metal\metal.00034.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_metal_00034.beats,true,79,27,0.301887,ok,
gtzan_genre,country.00036,country.00036,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00036.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00036.beats,true,57,26,0.289157,ok,
gtzan_genre,blues.00048,blues.00048,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00048.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00048.beats,true,60,26,0.232558,ok,
gtzan_genre,pop.00006,pop.00006,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00006.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00006.beats,true,47,26,0.246575,ok,
gtzan_genre,pop.00077,pop.00077,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00077.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00077.beats,true,56,29,0.494118,ok,
gtzan_genre,blues.00098,blues.00098,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00098.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00098.beats,true,63,28,0.285714,ok,
gtzan_genre,country.00072,country.00072,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00072.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00072.beats,true,75,25,0.2,ok,
gtzan_genre,jazz.00003,jazz.00003,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00003.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00003.beats,true,34,27,0.163934,ok,
gtzan_genre,hiphop.00070,hiphop.00070,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00070.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00070.beats,true,48,29,0.337662,ok,
gtzan_genre,pop.00008,pop.00008,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00008.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00008.beats,true,42,25,0.179104,ok,
gtzan_genre,country.00060,country.00060,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00060.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00060.beats,true,34,28,0.129032,ok,
gtzan_genre,blues.00035,blues.00035,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00035.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00035.beats,true,65,28,0.193548,ok,
gtzan_genre,pop.00063,pop.00063,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00063.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00063.beats,true,31,25,0.142857,ok,
gtzan_genre,jazz.00014,jazz.00014,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00014.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00014.beats,true,31,27,0.275862,ok,
gtzan_genre,blues.00081,blues.00081,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00081.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00081.beats,true,102,27,0.217054,ok,
gtzan_genre,rock.00016,rock.00016,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00016.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00016.beats,true,73,28,0.257426,ok,
gtzan_genre,reggae.00038,reggae.00038,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00038.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00038.beats,true,48,26,0.135135,ok,
gtzan_genre,disco.00091,disco.00091,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00091.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00091.beats,true,50,24,0.108108,ok,
gtzan_genre,hiphop.00086,hiphop.00086,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00086.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00086.beats,true,49,25,0.189189,ok,
gtzan_genre,rock.00053,rock.00053,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00053.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00053.beats,true,60,25,0.211765,ok,
gtzan_genre,country.00050,country.00050,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00050.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00050.beats,true,59,26,0.164706,ok,
gtzan_genre,jazz.00030,jazz.00030,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00030.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00030.beats,true,52,26,0.205128,ok,
gtzan_genre,rock.00087,rock.00087,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00087.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00087.beats,true,65,25,0.2,ok,
gtzan_genre,jazz.00002,jazz.00002,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00002.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00002.beats,true,49,30,0.177215,ok,
gtzan_genre,pop.00062,pop.00062,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00062.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00062.beats,true,40,27,0.119403,ok,
gtzan_genre,rock.00068,rock.00068,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00068.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00068.beats,true,63,25,0.204545,ok,
gtzan_genre,reggae.00040,reggae.00040,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00040.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00040.beats,true,47,28,0.213333,ok,
gtzan_genre,pop.00037,pop.00037,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00037.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00037.beats,true,52,26,0.25641,ok,
gtzan_genre,metal.00060,metal.00060,dataset\mirdata_gtzan_genre\gtzan_genre\genres\metal\metal.00060.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_metal_00060.beats,true,45,26,0.225352,ok,
gtzan_genre,disco.00020,disco.00020,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00020.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00020.beats,true,41,30,0.28169,ok,
gtzan_genre,hiphop.00015,hiphop.00015,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00015.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00015.beats,true,50,29,0.177215,ok,
gtzan_genre,classical.00025,classical.00025,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00025.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00025.beats,true,66,26,0.217391,ok,
gtzan_genre,country.00075,country.00075,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00075.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00075.beats,true,48,26,0.243243,ok,
gtzan_genre,country.00095,country.00095,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00095.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00095.beats,true,45,25,0.2,ok,
gtzan_genre,blues.00068,blues.00068,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00068.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00068.beats,true,81,29,0.527273,ok,
gtzan_genre,country.00001,country.00001,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00001.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00001.beats,true,64,25,0.202247,ok,
gtzan_genre,pop.00052,pop.00052,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00052.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00052.beats,true,52,33,0.541176,ok,
gtzan_genre,rock.00044,rock.00044,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00044.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00044.beats,true,45,26,0.197183,ok,
gtzan_genre,jazz.00099,jazz.00099,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00099.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00099.beats,true,68,29,0.268041,ok,
gtzan_genre,hiphop.00077,hiphop.00077,dataset\mirdata_gtzan_genre\gtzan_genre\genres\hiphop\hiphop.00077.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_hiphop_00077.beats,true,59,31,0.2,ok,
gtzan_genre,jazz.00067,jazz.00067,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00067.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00067.beats,true,50,31,0.17284,ok,
gtzan_genre,classical.00044,classical.00044,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00044.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00044.beats,true,41,26,0.149254,ok,
